,block_type,text,file_type,languages,page_number,filename,description,authors,research_lab,publication_year,title,section_title
4,Author Names,"Patrick Lewis'?, Ethan Perez*,",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Lists the names of authors, potentially with affiliations indicated by symbols.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
5,Author Names,"Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†,",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Lists the names of authors, potentially affiliated with a specific section or contribution.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
6,Author Names,"Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela†",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,Lists the authors of the research paper.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
9,NarrativeText,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph discusses the capabilities and limitations of large pre-trained language models, particularly in knowledge-intensive tasks. It introduces RAG models as a solution, combining parametric and non-parametric memory for improved language generation.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Abstract
11,NarrativeText,"Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be inspected and interpreted. REALM [20] and ORQA [31], two recently introduced models that combine masked language models [8] with a differentiable retriever, have shown promising results,",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the advantages and disadvantages of pre-trained neural language models, highlighting their limitations in memory expansion, revision, and prediction transparency. It further introduces hybrid models as a potential solution to address these issues by combining parametric and non-parametric memories, citing examples like REALM and ORQA.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
12,Image,"The image depicts a diagram outlining an end-to-end backpropagation process through components 'q' and 'pe'. 

**Left Side (Green Box):**
* Labeled ""Retriever pn (Non-Parametric)"" 
* Starts with a ""Query Encoder"" receiving an input query 'q'. Example queries illustrate different NLP tasks: ""Define 'middle ear' (x)"", ""Barack Obama was born in Hawaii. (x)"", ""The Divine Comedy (x)"".
* The encoded query 'q' is processed to 'q(x)' and then fed into ""MIPS"" (likely a retrieval model).
* MIPS interacts with a ""Document Index"" containing documents represented by wavy lines (d(z)). Documents are retrieved based on similarity with the query. 

**Right Side (Blue Box):**
* Labeled ""Generator pe (Parametric)""
* Receives retrieved documents from the left side.
* Processes them through a ""Marginalize"" step, culminating in an output 'pe'.
* Example outputs represent answers corresponding to the input queries: ""The middle ear includes the tympanic cavity and the three ossicles. (y)"", ""supports (y)"", ""This 14th-century work is divided into 3 sections: 'Inferno', 'Purgatorio' & 'Paradiso' (y)"".

**Overall:** The diagram showcases an NLP system where a query is encoded, used for retrieving relevant documents, and then processed to generate a response. The dashed arrow connecting the output to the input signifies end-to-end backpropagation for training the system. 
",application/pdf,['eng'],2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
13,FigureCaption,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.",application/pdf,['eng'],2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,Description of the approach combining a pre-trained retriever with a pre-trained seq2seq model for query-based text generation.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
14,NarrativeText,"but have only explored open-domain extractive question answering. Here, we bring hybrid parametric and non-parametric memory to the “workhorse of NLP,” i.e. sequence-to-sequence (seq2seq) models.",application/pdf,['eng'],2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,This text segment discusses the limitations of existing question-answering systems and introduces a novel approach that combines parametric and non-parametric memory for sequence-to-sequence models in natural language processing.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
15,NarrativeText,"We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose ﬁne-tuning approach which we refer to as retrieval-augmented generation (RAG). We build RAG models where the parametric memory is a pre-trained seq2seq transformer, and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We combine these components in a probabilistic model trained end-to-end (Fig. 1). The retriever (Dense Passage Retriever [26], henceforth DPR) provides latent documents conditioned on the input, and the seq2seq model (BART [32]) then conditions on these latent documents together with the input to generate the output. We marginalize the latent documents with a top-K approximation, either on a per-output basis (assuming the same document is responsible for all tokens) or a per-token basis (where different documents are responsible for different tokens). Like T5 [51] or BART, RAG can be ﬁne-tuned on any seq2seq task, whereby both the generator and retriever are jointly learned.",application/pdf,['eng'],2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph describes Retrieval-Augmented Generation (RAG), a method to enhance pre-trained language models with non-parametric memory. It details the components of RAG models, how they leverage latent documents for generation, and their applicability to various NLP tasks.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
16,NarrativeText,"There has been extensive previous work proposing architectures to enrich systems with non-parametric memory which are trained from scratch for speciﬁc tasks, e.g. memory networks [64, 55], stack- augmented networks [25] and memory layers [30]. In contrast, we explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training.",application/pdf,['eng'],2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph contrasts the authors' approach of using pre-trained parametric and non-parametric memory components with previous work that trains architectures from scratch. It highlights the advantage of their approach, where the ability to access knowledge is readily available without the need for additional training.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1 Introduction
