,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path
0,UncategorizedText,e5fd23899e02d31f8bf2cf13d7590acb,1 2 0 2,"((45.388888888888886, 589.6111111111111), (45.388888888888886, 700.7222222222222), (100.94444444444446, 700.7222222222222), (100.94444444444446, 589.6111111111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,
1,Header,6b0f69eb8cf2eabdd6198b144fbd0577,r p A 2 1 ] L C . s c [,"((45.1381721496582, 688.5795288085938), (45.1381721496582, 1412.005126953125), (100.94444444444446, 1412.005126953125), (100.94444444444446, 688.5795288085938))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.5158118605613708,,
2,UncategorizedText,e487c051e4fee26e6b3144ed4c6b316a,4 v 1 0 4 1 1 . 5 0 0 2 : v i X r a,"((45.388888888888886, 1094.1666666666665), (45.388888888888886, 1555.5555555555554), (100.94444444444446, 1555.5555555555554), (100.94444444444446, 1094.1666666666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6b0f69eb8cf2eabdd6198b144fbd0577,
3,Title,b25a018ba70e1f5ca3f02c08ec53bd87,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"((463.0325927734375, 276.19338500000003), (463.0325927734375, 381.2864074707031), (1239.3253173828125, 381.2864074707031), (1239.3253173828125, 276.19338500000003))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.479248046875,6b0f69eb8cf2eabdd6198b144fbd0577,
4,NarrativeText,a12bfe0c505940fc79e0f11a10268223,"Patrick Lewis'?, Ethan Perez*,","((664.65380859375, 498.6003255555554), (664.65380859375, 530.0421761111108), (1038.976318359375, 530.0421761111108), (1038.976318359375, 498.6003255555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.43244755268096924,b25a018ba70e1f5ca3f02c08ec53bd87,
5,NarrativeText,104fb6a0170c18313c6ab330c5aa1e7d,"Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†,","((301.7610168457031, 576.878103333333), (301.7610168457031, 608.3171761111107), (1434.0615234375, 608.3171761111107), (1434.0615234375, 576.878103333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.4409891664981842,b25a018ba70e1f5ca3f02c08ec53bd87,
6,NarrativeText,2980cc4644029972b1d3f05593755b9a,"Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela†","((363.132080078125, 655.153103333333), (363.132080078125, 686.5921761111107), (1333.4135456666668, 686.5921761111107), (1333.4135456666668, 655.153103333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.40328675508499146,b25a018ba70e1f5ca3f02c08ec53bd87,
7,Title,292b9954d39c0fb48628130c6524dbc3,TFacebook Al Research; {University College London; *New York University; plewis@fb.com,"((419.68611111111125, 729.250325555555), (419.68611111111125, 796.8880477777773), (1280.3141022222221, 796.8880477777773), (1280.3141022222221, 729.250325555555))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6b0f69eb8cf2eabdd6198b144fbd0577,
8,Title,c9b530c90b735b80aaab6e7de47b5cae,Abstract,"((788.2166666666667, 878.8706577777773), (788.2166666666667, 912.0795466666661), (914.9134521484375, 912.0795466666661), (914.9134521484375, 878.8706577777773))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8594973087310791,6b0f69eb8cf2eabdd6198b144fbd0577,
9,NarrativeText,6338d0a2de8828206675b1d2b553ffc6,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.","((398.7138888888889, 953.0675600000001), (398.7138888888889, 1586.7997822222223), (1312.1536865234375, 1586.7997822222223), (1312.1536865234375, 953.0675600000001))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9431949853897095,c9b530c90b735b80aaab6e7de47b5cae,
10,Title,1b85a4b9a3ad6660f23959df934d3cf0,1 Introduction,"((295.1087646484375, 1657.353991111111), (295.1087646484375, 1690.56288), (535.5828247070312, 1690.56288), (535.5828247070312, 1657.353991111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8984555006027222,6b0f69eb8cf2eabdd6198b144fbd0577,
11,NarrativeText,6e7e12a71183084f7452f1a3d568730f,"Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be inspected and interpreted. REALM [20] and ORQA [31], two recently introduced models that combine masked language models [8] with a differentiable retriever, have shown promising results,","((300.0, 1729.7647822222223), (300.0, 1999.8608933333335), (1408.0704345703125, 1999.8608933333335), (1408.0704345703125, 1729.7647822222223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9481785893440247,1b85a4b9a3ad6660f23959df934d3cf0,
12,Image,6388b2f69ca37d66e44bac16f34efb66,"D I el The middle ear includes End-to-End Backprop through q and pe the tympanic cavity and the three ossicles. (y) Define ""middle ear"" (x) Question Answering: Question Query Retriever p Document Generator pg Chnower Gereratn Index (Non-Parametric) (Parametric) d2) supports (y) Barack Obama was born in Hawaii.(x) q(x) Fact Verification: Fact Query Fact Verification: Label Generation The Divine This 14th century work Comedy (x) is divided into 3 Jeopardy Question Generation: Answer Query Sections: ""Inferno"", ""Burgatorio® & ""Paradiso"" 2 Question Generation","((306.85675048828125, 189.9801788330078), (306.85675048828125, 507.15521240234375), (1382.9215087890625, 507.15521240234375), (1382.9215087890625, 189.9801788330078))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.922900915145874,,./images/1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-2-1.jpg
13,NarrativeText,3146240e47618464f266b9bec35fd8c5,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.","((295.77911376953125, 534.0171716666664), (295.77911376953125, 653.2358933333335), (1404.668212890625, 653.2358933333335), (1404.668212890625, 534.0171716666664))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8750489354133606,,
14,NarrativeText,064fe38103eca5189a5b191aeb76bf75,"but have only explored open-domain extractive question answering. Here, we bring hybrid parametric and non-parametric memory to the “workhorse of NLP,” i.e. sequence-to-sequence (seq2seq) models.","((296.3477478027344, 714.1786711111109), (296.3477478027344, 772.1553377777777), (1406.2171630859375, 772.1553377777777), (1406.2171630859375, 714.1786711111109))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9397491812705994,,
15,NarrativeText,ef89d9c7b3f8c3323078ae11f3f34094,"We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose ﬁne-tuning approach which we refer to as retrieval-augmented generation (RAG). We build RAG models where the parametric memory is a pre-trained seq2seq transformer, and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We combine these components in a probabilistic model trained end-to-end (Fig. 1). The retriever (Dense Passage Retriever [26], henceforth DPR) provides latent documents conditioned on the input, and the seq2seq model (BART [32]) then conditions on these latent documents together with the input to generate the output. We marginalize the latent documents with a top-K approximation, either on a per-output basis (assuming the same document is responsible for all tokens) or a per-token basis (where different documents are responsible for different tokens). Like T5 [51] or BART, RAG can be ﬁne-tuned on any seq2seq task, whereby both the generator and retriever are jointly learned.","((298.7, 790.006448888889), (298.7, 1120.7108933333332), (1405.7005615234375, 1120.7108933333332), (1405.7005615234375, 790.006448888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9474478363990784,,
16,NarrativeText,58271d9bb849917415c20754a9ddd478,"There has been extensive previous work proposing architectures to enrich systems with non-parametric memory which are trained from scratch for speciﬁc tasks, e.g. memory networks [64, 55], stack- augmented networks [25] and memory layers [30]. In contrast, we explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training.","((299.14166666666665, 1138.5592266666665), (299.14166666666665, 1317.7497822222222), (1408.96142578125, 1317.7497822222222), (1408.96142578125, 1138.5592266666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9447131752967834,,
17,NarrativeText,9649719fa16de7a1b772525ef0caf174,"Our results highlight the beneﬁts of combining parametric and non-parametric memory with genera- tion for knowledge-intensive tasks—tasks that humans could not reasonably be expected to perform without access to an external knowledge source. Our RAG models achieve state-of-the-art results on open Natural Questions [29], WebQuestions [3] and CuratedTrec [2] and strongly outperform recent approaches that use specialised pre-training objectives on TriviaQA [24]. Despite these being extractive tasks, we ﬁnd that unconstrained generation outperforms previous extractive approaches. For knowledge-intensive generation, we experiment with MS-MARCO [1] and Jeopardy question generation, and we ﬁnd that our models generate responses that are more factual, speciﬁc, and diverse than a BART baseline. For FEVER [56] fact veriﬁcation, we achieve results within 4.3% of state-of-the-art pipeline models which use strong retrieval supervision. Finally, we demonstrate that the non-parametric memory can be replaced to update the models’ knowledge as the world changes.1","((299.0027777777778, 1335.5981155555553), (299.0027777777778, 1666.30256), (1409.3521728515625, 1666.30256), (1409.3521728515625, 1335.5981155555553))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9486468434333801,,
18,Title,473922084332f16622c9a93af61bc60f,2 Methods,"((295.83807373046875, 1712.1428799999999), (295.83807373046875, 1745.3517688888887), (474.6036682128906, 1745.3517688888887), (474.6036682128906, 1712.1428799999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9016311168670654,,
19,NarrativeText,acec053bac4da9924e95b709da4dd494,"We explore RAG models, which use the input sequence x to retrieve text documents z and use them as additional context when generating the target sequence y. As shown in Figure 1, our models leverage two components: (i) a retriever pη(z|x) with parameters η that returns (top-K truncated) distributions over text passages given a query x and (ii) a generator pθ(yi|x, z, y1:i−1) parametrized","((296.85443115234375, 1779.5226233333333), (296.85443115234375, 1900.6442144444443), (1406.84716796875, 1900.6442144444443), (1406.84716796875, 1779.5226233333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9450219869613647,473922084332f16622c9a93af61bc60f,
20,NarrativeText,02d9bd82b3c45592572ff40aeb56d2af,1Code to run experiments with RAG has been open-sourced as part of the HuggingFace Transform- ers Library [66] and can be found at https://github.com/huggingface/transformers/blob/master/ examples/rag/. An interactive demo of RAG models can be found at https://huggingface.co/rag/,"((297.1602783203125, 1921.0543377777778), (297.1602783203125, 2005.5292799999997), (1404.1372789333336, 2005.5292799999997), (1404.1372789333336, 1921.0543377777778))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9185086488723755,473922084332f16622c9a93af61bc60f,
21,Footer,9c612bb8538fcf2e1ceb0019bdaf7e85,2,"((843.0670166015625, 2061.325893333333), (843.0670166015625, 2088.999782222222), (857.8004760742188, 2088.999782222222), (857.8004760742188, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7838558554649353,,
