,type,block_type,Clasificacion Mamual,makes_sense,text,description,,coordinates_points,filetype,languages,page_number,filename,detection_class_prob,parent_id,image_path,,,,element_id
0,UncategorizedText,UncategorizedText,UncategorizedText,FALSE,1 2 0 2,The text block '1 2 0 2' does not provide coherent or understandable information and does not fit into any of the specified categories.,,"((45.388888888888886, 589.6111111111111), (45.388888888888886, 700.7222222222222), (100.94444444444446, 700.7222222222222), (100.94444444444446, 589.6111111111111))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,2a79c74e7aacdeced6760e8e3a21a60e
1,Header,UncategorizedText,UncategorizedText,FALSE,r p A 2 1 ] L C . s c [,The text block does not form a coherent or understandable sentence or phrase.,,"((45.1381721496582, 688.5795288085938), (45.1381721496582, 1412.005126953125), (100.94444444444446, 1412.005126953125), (100.94444444444446, 688.5795288085938))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.515811861,,,,,,6afcf8d92b2e1513a713972102cd8216
2,UncategorizedText,UncategorizedText,UncategorizedText,FALSE,4 v 1 0 4 1 1 . 5 0 0 2 : v i X r a,The text block does not make sense and does not fit into any of the specified categories.,,"((45.388888888888886, 1094.1666666666665), (45.388888888888886, 1555.5555555555554), (100.94444444444446, 1555.5555555555554), (100.94444444444446, 1094.1666666666665))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6afcf8d92b2e1513a713972102cd8216,,,,,3a8065e6efc332ca5cd4bf6950df8663
3,Title,Title,Title,TRUE,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"The text is a title for a document or section, likely related to a method or approach in natural language processing (NLP) that involves retrieval-augmented generation for tasks requiring extensive knowledge.",,"((463.0325927734375, 276.19338500000003), (463.0325927734375, 381.2864074707031), (1239.3253173828125, 381.2864074707031), (1239.3253173828125, 276.19338500000003))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.479248047,6afcf8d92b2e1513a713972102cd8216,,,,,683c711fcc9f2170bd2584bb150a2725
4,NarrativeText,Author Names,Author Names,TRUE,"Patrick Lewis'?, Ethan Perez*,","The text block lists the names of authors, specifically Patrick Lewis and Ethan Perez.",,"((664.65380859375, 498.6003255555554), (664.65380859375, 530.0421761111108), (1038.976318359375, 530.0421761111108), (1038.976318359375, 498.6003255555554))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.432447553,683c711fcc9f2170bd2584bb150a2725,,,,,5549ff0886ea40db28c2e81555d860fb
5,NarrativeText,Author Names,Author Names,TRUE,"Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†,","This text block lists the names of authors, typically found at the beginning of academic papers or articles.",,"((301.7610168457031, 576.878103333333), (301.7610168457031, 608.3171761111107), (1434.0615234375, 608.3171761111107), (1434.0615234375, 576.878103333333))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.440989166,683c711fcc9f2170bd2584bb150a2725,,,,,55a1a3e368bec0cc7cf08f0f2c37199a
6,NarrativeText,Author Names,Author Names,TRUE,"Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela†",This text block lists the names of the authors of a document.,,"((363.132080078125, 655.153103333333), (363.132080078125, 686.5921761111107), (1333.4135456666668, 686.5921761111107), (1333.4135456666668, 655.153103333333))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.403286755,683c711fcc9f2170bd2584bb150a2725,,,,,e854e908dcc69424c54ebccb27b30973
7,Title,UncategorizedText,UncategorizedText,FALSE,TFacebook Al Research; {University College London; *New York University; plewis@fb.com,"The text block does not form a coherent or understandable sentence or phrase. It appears to be a mix of affiliations and an email address, but it is not clear or complete enough to classify accurately.",,"((419.68611111111125, 729.250325555555), (419.68611111111125, 796.8880477777773), (1280.3141022222221, 796.8880477777773), (1280.3141022222221, 729.250325555555))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6afcf8d92b2e1513a713972102cd8216,,,,,15df17659502acdb0a3d461eb47e5fb0
8,Title,Title,Title,TRUE,Abstract,The text 'Abstract' is a sectional heading commonly used in academic and research documents to introduce a summary of the content.,,"((788.2166666666667, 878.8706577777773), (788.2166666666667, 912.0795466666661), (914.9134521484375, 912.0795466666661), (914.9134521484375, 878.8706577777773))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.859497309,6afcf8d92b2e1513a713972102cd8216,,,,,9a1b9a1d4083b4182615d5e9266c2f20
9,NarrativeText,NarrativeText,NarrativeText,TRUE,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.","This text block discusses the capabilities and limitations of large pre-trained language models, particularly in the context of knowledge-intensive tasks. It introduces Retrieval-Augmented Generation (RAG) models, which combine parametric and non-parametric memory for language generation, and compares their performance to other models on various NLP tasks.",,"((398.7138888888889, 953.0675600000001), (398.7138888888889, 1586.7997822222223), (1312.1536865234375, 1586.7997822222223), (1312.1536865234375, 953.0675600000001))",application/pdf,['eng'],1,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.943194985,9a1b9a1d4083b4182615d5e9266c2f20,,,,,a0c2906439baeb7c4d258c8af0abf5c4
