,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path
0,UncategorizedText,2a79c74e7aacdeced6760e8e3a21a60e,1 2 0 2,"((45.388888888888886, 589.6111111111111), (45.388888888888886, 700.7222222222222), (100.94444444444446, 700.7222222222222), (100.94444444444446, 589.6111111111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,
1,Header,6afcf8d92b2e1513a713972102cd8216,r p A 2 1 ] L C . s c [,"((45.1381721496582, 688.5795288085938), (45.1381721496582, 1412.005126953125), (100.94444444444446, 1412.005126953125), (100.94444444444446, 688.5795288085938))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.5158118605613708,,
2,UncategorizedText,3a8065e6efc332ca5cd4bf6950df8663,4 v 1 0 4 1 1 . 5 0 0 2 : v i X r a,"((45.388888888888886, 1094.1666666666665), (45.388888888888886, 1555.5555555555554), (100.94444444444446, 1555.5555555555554), (100.94444444444446, 1094.1666666666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6afcf8d92b2e1513a713972102cd8216,
3,Title,683c711fcc9f2170bd2584bb150a2725,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"((463.0325927734375, 276.19338500000003), (463.0325927734375, 381.2864074707031), (1239.3253173828125, 381.2864074707031), (1239.3253173828125, 276.19338500000003))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.479248046875,6afcf8d92b2e1513a713972102cd8216,
4,NarrativeText,5549ff0886ea40db28c2e81555d860fb,"Patrick Lewis'?, Ethan Perez*,","((664.65380859375, 498.6003255555554), (664.65380859375, 530.0421761111108), (1038.976318359375, 530.0421761111108), (1038.976318359375, 498.6003255555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.43244755268096924,683c711fcc9f2170bd2584bb150a2725,
5,NarrativeText,55a1a3e368bec0cc7cf08f0f2c37199a,"Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†,","((301.7610168457031, 576.878103333333), (301.7610168457031, 608.3171761111107), (1434.0615234375, 608.3171761111107), (1434.0615234375, 576.878103333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.4409891664981842,683c711fcc9f2170bd2584bb150a2725,
6,NarrativeText,e854e908dcc69424c54ebccb27b30973,"Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela†","((363.132080078125, 655.153103333333), (363.132080078125, 686.5921761111107), (1333.4135456666668, 686.5921761111107), (1333.4135456666668, 655.153103333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.40328675508499146,683c711fcc9f2170bd2584bb150a2725,
7,Title,15df17659502acdb0a3d461eb47e5fb0,TFacebook Al Research; {University College London; *New York University; plewis@fb.com,"((419.68611111111125, 729.250325555555), (419.68611111111125, 796.8880477777773), (1280.3141022222221, 796.8880477777773), (1280.3141022222221, 729.250325555555))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,6afcf8d92b2e1513a713972102cd8216,
8,Title,9a1b9a1d4083b4182615d5e9266c2f20,Abstract,"((788.2166666666667, 878.8706577777773), (788.2166666666667, 912.0795466666661), (914.9134521484375, 912.0795466666661), (914.9134521484375, 878.8706577777773))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8594973087310791,6afcf8d92b2e1513a713972102cd8216,
9,NarrativeText,a0c2906439baeb7c4d258c8af0abf5c4,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline.","((398.7138888888889, 953.0675600000001), (398.7138888888889, 1586.7997822222223), (1312.1536865234375, 1586.7997822222223), (1312.1536865234375, 953.0675600000001))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9431949853897095,9a1b9a1d4083b4182615d5e9266c2f20,
